,nu_two_sided,nu_pvalue_g,nu_pvalue_l,nu_one_sided,nu_one_sided_latex,nu_one_sided_excel,SPR_two_sided,SPR_pvalue_g,SPR_pvalue_l,SPR_one_sided,SPR_one_sided_latex,SPR_one_sided_excel,n
mitochondrial matrix,1.4165239701618966e-21,7.082619850809483e-22,1.0,7.082619850809483e-22,	extcolor{green}{$<$1e-10},<1e-10,0.02372229001665852,0.01186114500832926,0.9881388549916708,0.01186114500832926,	extcolor{green}{0.01},0.01,429.0
membrane,4.725568448345499e-21,2.3627842241727494e-21,1.0,2.3627842241727494e-21,	extcolor{green}{$<$1e-10},<1e-10,7.382029870902289e-42,3.6910149354511444e-42,1.0,3.6910149354511444e-42,	extcolor{green}{$<$1e-10},<1e-10,9158.0
mitochondrion,2.656196382481766e-20,1.328098191240883e-20,1.0,1.328098191240883e-20,	extcolor{green}{$<$1e-10},<1e-10,0.005595744116080973,0.0027978720580404863,0.9972021279419595,0.0027978720580404863,	extcolor{green}{0.003},0.003,1422.0
nucleus,6.661338147750939e-16,0.9999999999999997,3.3306690738754696e-16,3.3306690738754696e-16,	extcolor{orange}{$<$1e-10},<1e-10,0.0,1.0,0.0,0.0,	extcolor{orange}{$<$1e-10},<1e-10,9339.0
cytoplasm,1.3109490690384307e-14,6.5547453451921534e-15,0.9999999999999934,6.5547453451921534e-15,	extcolor{green}{$<$1e-10},<1e-10,7.627937782400929e-08,3.8139688912004645e-08,0.999999961860311,3.8139688912004645e-08,	extcolor{green}{4e-08},4e-08,13235.0
chromatin,1.687538997430238e-14,0.9999999999999916,8.43769498715119e-15,8.43769498715119e-15,	extcolor{orange}{$<$1e-10},<1e-10,0.0,1.0,0.0,0.0,	extcolor{orange}{$<$1e-10},<1e-10,2136.0
chromosome,1.0014211682118912e-13,0.9999999999999499,5.007105841059456e-14,5.007105841059456e-14,	extcolor{orange}{$<$1e-10},<1e-10,0.0,1.0,0.0,0.0,	extcolor{orange}{$<$1e-10},<1e-10,2857.0
cytoplasmic vesicle,2.4859435665292934e-13,1.2429717832646467e-13,0.9999999999998757,1.2429717832646467e-13,	extcolor{green}{$<$1e-10},<1e-10,1.1094644998082607e-18,5.547322499041304e-19,1.0,5.547322499041304e-19,	extcolor{green}{$<$1e-10},<1e-10,2693.0
mitochondrial inner membrane,3.659572404391071e-13,1.8297862021955356e-13,0.999999999999817,1.8297862021955356e-13,	extcolor{green}{$<$1e-10},<1e-10,0.12424179835832895,0.062120899179164475,0.9378791008208355,0.062120899179164475,	extcolor{green}{0.06},0.06,303.0
endosome,1.4597701658203654e-11,7.298850829101827e-12,0.9999999999927012,7.298850829101827e-12,	extcolor{green}{$<$1e-10},<1e-10,2.160124285965568e-13,1.080062142982784e-13,0.999999999999892,1.080062142982784e-13,	extcolor{green}{$<$1e-10},<1e-10,1176.0
plasma membrane,5.4429601372685355e-11,2.7214800686342677e-11,0.9999999999727852,2.7214800686342677e-11,	extcolor{green}{$<$1e-10},<1e-10,4.353299115920921e-31,2.1766495579604607e-31,1.0,2.1766495579604607e-31,	extcolor{green}{$<$1e-10},<1e-10,6078.0
endosome membrane,6.886525963236167e-10,3.443262981618083e-10,0.9999999996556737,3.443262981618083e-10,	extcolor{green}{3e-10},3e-10,4.4245450972870824e-13,2.2122725486435412e-13,0.9999999999997787,2.2122725486435412e-13,	extcolor{green}{$<$1e-10},<1e-10,594.0
extracellular exosome,1.4743806906488052e-08,7.371903453244026e-09,0.9999999926280966,7.371903453244026e-09,	extcolor{green}{7e-09},7e-09,5.043986198035378e-10,2.521993099017689e-10,0.9999999997478007,2.521993099017689e-10,	extcolor{green}{3e-10},3e-10,1752.0
lysosome,6.890971539434617e-08,3.445485769717308e-08,0.9999999655451423,3.445485769717308e-08,	extcolor{green}{3e-08},3e-08,4.093869589944257e-13,2.0469347949721284e-13,0.9999999999997953,2.0469347949721284e-13,	extcolor{green}{$<$1e-10},<1e-10,730.0
nuclear body,9.799011579936234e-08,0.9999999510049421,4.899505789968117e-08,4.899505789968117e-08,	extcolor{orange}{5e-08},5e-08,6.625811010962934e-13,0.9999999999996687,3.312905505481467e-13,3.312905505481467e-13,	extcolor{orange}{$<$1e-10},<1e-10,1186.0
lysosomal membrane,1.3425271742244962e-07,6.712635871122481e-08,0.9999999328736413,6.712635871122481e-08,	extcolor{green}{7e-08},7e-08,7.923482328524229e-10,3.9617411642621144e-10,0.9999999996038259,3.9617411642621144e-10,	extcolor{green}{4e-10},4e-10,432.0
basolateral plasma membrane,3.832761864190054e-07,1.916380932095027e-07,0.9999998083619068,1.916380932095027e-07,	extcolor{green}{2e-07},2e-07,4.28889933920404e-10,2.14444966960202e-10,0.999999999785555,2.14444966960202e-10,	extcolor{green}{2e-10},2e-10,337.0
nucleoplasm,4.733090157582609e-07,0.9999997633454921,2.3665450787913045e-07,2.3665450787913045e-07,	extcolor{orange}{2e-07},2e-07,1.5476508963274682e-12,0.9999999999992262,7.738254481637341e-13,7.738254481637341e-13,	extcolor{orange}{$<$1e-10},<1e-10,5389.0
cell surface,8.503977848312128e-07,4.251988924156064e-07,0.9999995748011076,4.251988924156064e-07,	extcolor{green}{4e-07},4e-07,7.973671090860308e-16,3.986835545430154e-16,0.9999999999999996,3.986835545430154e-16,	extcolor{green}{$<$1e-10},<1e-10,954.0
early endosome,1.246311740079133e-06,6.231558700395665e-07,0.99999937684413,6.231558700395665e-07,	extcolor{green}{6e-07},6e-07,3.421015072157023e-08,1.7105075360785115e-08,0.9999999828949246,1.7105075360785115e-08,	extcolor{green}{2e-08},2e-08,492.0
endoplasmic reticulum,1.3159935726845658e-06,6.579967863422829e-07,0.9999993420032136,6.579967863422829e-07,	extcolor{green}{7e-07},7e-07,3.079303463710432e-14,1.539651731855216e-14,0.9999999999999846,1.539651731855216e-14,	extcolor{green}{$<$1e-10},<1e-10,1912.0
Golgi apparatus,1.3745037918004508e-06,6.872518959002254e-07,0.999999312748104,6.872518959002254e-07,	extcolor{green}{7e-07},7e-07,3.3518495228343605e-09,1.6759247614171803e-09,0.9999999983240753,1.6759247614171803e-09,	extcolor{green}{2e-09},2e-09,1848.0
Golgi membrane,3.2266530371759336e-06,1.6133265185879668e-06,0.9999983866734814,1.6133265185879668e-06,	extcolor{green}{2e-06},2e-06,1.2673606580490923e-06,6.336803290245461e-07,0.999999366319671,6.336803290245461e-07,	extcolor{green}{6e-07},6e-07,541.0
extracellular space,6.9558602688975195e-06,3.4779301344487598e-06,0.9999965220698656,3.4779301344487598e-06,	extcolor{green}{3e-06},3e-06,1.3028793666083673e-05,6.514396833041836e-06,0.9999934856031669,6.514396833041836e-06,	extcolor{green}{7e-06},7e-06,2803.0
nuclear speck,7.970403478108068e-06,0.999996014798261,3.985201739054034e-06,3.985201739054034e-06,	extcolor{orange}{4e-06},4e-06,2.660364151196859e-08,0.9999999866981792,1.3301820755984295e-08,1.3301820755984295e-08,	extcolor{orange}{1e-08},1e-08,603.0
apical plasma membrane,8.445123190488746e-06,4.222561595244373e-06,0.9999957774384047,4.222561595244373e-06,	extcolor{green}{4e-06},4e-06,2.1350066796907368e-09,1.0675033398453684e-09,0.9999999989324967,1.0675033398453684e-09,	extcolor{green}{1e-09},1e-09,484.0
extracellular region,2.796246894074658e-05,1.398123447037329e-05,0.9999860187655296,1.398123447037329e-05,	extcolor{green}{1e-05},1e-05,1.6323421848812602e-05,8.161710924406301e-06,0.9999918382890756,8.161710924406301e-06,	extcolor{green}{8e-06},8e-06,3657.0
membrane raft,3.130641164275742e-05,1.565320582137871e-05,0.9999843467941786,1.565320582137871e-05,	extcolor{green}{2e-05},2e-05,2.755684908252285e-06,1.3778424541261425e-06,0.9999986221575459,1.3778424541261425e-06,	extcolor{green}{1e-06},1e-06,403.0
external side of plasma membrane,5.63852793732117e-05,2.819263968660585e-05,0.9999718073603134,2.819263968660585e-05,	extcolor{green}{3e-05},3e-05,4.383070820128197e-17,2.1915354100640986e-17,1.0,2.1915354100640986e-17,	extcolor{green}{$<$1e-10},<1e-10,345.0
early endosome membrane,0.00017225741788866298,8.612870894433149e-05,0.9999138712910557,8.612870894433149e-05,	extcolor{green}{9e-05},9e-05,3.65695008245245e-06,1.828475041226225e-06,0.9999981715249587,1.828475041226225e-06,	extcolor{green}{2e-06},2e-06,236.0
receptor complex,0.0005603548156219705,0.00028017740781098523,0.9997198225921891,0.00028017740781098523,	extcolor{green}{0.0003},0.0003,2.963255626192165e-08,1.4816278130960825e-08,0.9999999851837219,1.4816278130960825e-08,	extcolor{green}{1e-08},1e-08,590.0
endoplasmic reticulum membrane,0.0006010542746119848,0.0003005271373059924,0.999699472862694,0.0003005271373059924,	extcolor{green}{0.0003},0.0003,5.0190676170954585e-09,2.5095338085477293e-09,0.9999999974904662,2.5095338085477293e-09,	extcolor{green}{3e-09},3e-09,1011.0
axoneme,0.0013081484312461797,0.0006540742156230898,0.9993459257843769,0.0006540742156230898,	extcolor{green}{0.0007},0.0007,3.243829061270151e-09,1.6219145306350755e-09,0.9999999983780855,1.6219145306350755e-09,	extcolor{green}{2e-09},2e-09,293.0
transcription regulator complex,0.02016846947962514,0.9899157652601874,0.01008423473981257,0.01008423473981257,	extcolor{orange}{0.01},0.01,3.184119634624949e-13,0.9999999999998408,1.5920598173124745e-13,1.5920598173124745e-13,	extcolor{orange}{$<$1e-10},<1e-10,752.0
cilium,0.5067154154422315,0.25335770772111577,0.7466422922788842,0.25335770772111577,	extcolor{green}{0.3},0.3,2.690357207386953e-07,1.3451786036934764e-07,0.9999998654821396,1.3451786036934764e-07,	extcolor{green}{1e-07},1e-07,1045.0
